 Smells Like Teen Spirit,Nirvana,0,https://mega.nz/file/iF80EBhB#gbH1eUN1oJwPMNuqYZtm3XVYKI3hPR-13cNqwG-xWjs,f4e20d62-8b64-4b33-b3f0-da0a5cd97f25,רוק
bad idea right,Olivia Rodrigo,0,https://mega.nz/file/jc8Qha4R#YLNPJKGIcz4xa31EavoeWugVPhDwCMz4gcnV83C38ag,f141028b-065f-44df-b479-e432aeab32f0,רוק
"Style
",Taylor Swift ,0,https://mega.nz/file/ydEGSYyK#f52-1lIwKlWx2ol90pqgJ8o0_bUdEnfT3CdGQ3eSNrc,4c74dad8-d9fd-4bac-9299-c75cee4cf381,פופ
Stressed Out,twenty one pilots,0,https://mega.nz/file/vAMlwLiD#LLL-qfdFr1QLmEthUJsw7zqKTdF6U4J1dXlM_noZcBs,c15e661c-bbdd-4578-97b3-070a8c0e089e,ראפ
Hotline Bling,Drake,0,https://mega.nz/file/KEsCjQAR#LgkD9mzjT2zuvkRnA6I_cMEois2PXKxkfzNdn6d_bYQ,f17ab519-c5fd-4d58-bc0d-08120e7e2dae,פופ
Lose Yourself,Eminem,0,https://mega.nz/file/KBdyBS6B#VBUJ2DbV190yLRV7lwXJStZitbkT2KT403IhfX0_Ymo,39842e58-4eb6-434a-a151-3c578f215648,ראפ
Watermelon Sugar,Harry Styles,0,https://mega.nz/file/DYcz0Dza#5lpTWnqNjngPe3xp9hSj0N8VrESHicCijtduWL5PZmE,e536c282-518d-4411-b781-59c8ee0401ca,פופ
Radioactive,Imagine Dragons,0,https://mega.nz/file/nR0EQY4T#XW2UkxWjKpQPQR6NrxqubknqkFNruJY_GLDtJqJj_YA,6c2aebbf-71bb-471f-ba34-2cd8b6e1fdba,רוק
Old Town Road,Lil Nas X,0,https://mega.nz/file/6VEinADD#kDUJFeNuDMJVdE4-81hEpRantE60tf4iySpQZA0EyYk,44345e48-ee82-4616-9e54-f15364f1701e,ראפ
Can't Hold Us,Macklemore & Ryan Lewis,0,https://mega.nz/file/2MElCa7C#JRmS1sPiOQAKXn_gznThL8fM0ZGwlhpmYELRGNWsLsY,23ff416d-b9a3-4ffc-a925-8d4c82b42aaf,ראפ
24K Magic,Bruno Mars,0,https://mega.nz/file/fRNEyDyZ#f-f0hTV1kNuGiYQGgcNFnw6s8foZcKn0DSWug8Tqzes,c82129fd-43e3-49d7-b8c2-5361c0ec8398,פופ
positions,Ariana Grande,0,https://mega.nz/file/Sd9niSoS#cBpmPZHNXeGT8xgMSKeY2Dv9AdD4Dcd96Tu_9WPKZlI,252a429f-ff13-4058-9da1-cb2ce346e8d5,פופ
505,Arctic Monkeys,0,https://mega.nz/file/jAsjHZjT#seatz-krDBXtmiUVXhKy0IZmkLiqXW8PTj331MLr7wE,e8eb6467-e22b-4288-b76b-2c199875b663,רוק
Dream On,Aerosmith,0,https://mega.nz/file/GI92iYbI#ukW7P__b_mpImks4CrvigRVV8Ki-WszFebWatDzEu8g,4f19cd01-f26e-4734-817a-1493d751516a,רוק
Empire State Of Mind,JAY-Z ,0,https://mega.nz/file/nQky0TjJ#Bre3yjRQOdgxJWz37Lx1duTVXzktsaFvc9op6pEpNwI,5f0848db-061a-4edc-9246-310645a9f0a8,היפ-הופ
